class,races,wins,win_rate,win_ROI,place_hit_rate,place_ROI,sample_warning
grade:C|condition:11,1,0,0,0.0,1,170.0,LOW SAMPLE
grade:C|condition:12,1,0,0,0.0,1,130.0,LOW SAMPLE
grade:C|condition:13,9,1,0.1111111111111111,32.22222222222222,0.2222222222222222,31.11111111111111,LOW SAMPLE
grade:E|condition:11,2,0,0,0.0,0.5,55.00000000000001,LOW SAMPLE
grade:E|condition:13,94,28,0.2978723404255319,73.08510638297872,0.5851063829787234,77.97872340425532,
grade:E|condition:18,1,0,0,0.0,1,110.00000000000001,LOW SAMPLE
grade:L|condition:13,3,1,0.3333333333333333,70.0,0.3333333333333333,40.0,LOW SAMPLE
grade:unknown|condition:11,75,19,0.25333333333333335,73.33333333333333,0.48,67.06666666666666,
grade:unknown|condition:12,138,39,0.2826086956521739,88.04347826086956,0.6159420289855072,82.97101449275362,
grade:unknown|condition:13,96,26,0.2708333333333333,68.4375,0.5208333333333334,72.1875,
grade:unknown|condition:18,12,4,0.3333333333333333,125.83333333333333,0.6666666666666666,106.66666666666667,LOW SAMPLE
